"Article","Abstract"
"December 24, 2010","The way Kosovo is achieving independence has been welcomed with antithetical opinions in the international community, especially with respect to international law. This paper attempts to shed light on the legal trajectory which brought Kosovo on the way to statehood. After determining that Kosovo has not, prima facie, any positive right to independence, its de facto statehood is contrasted with a few doctrines that could contribute to support it, namely self-determination, remedial secession theory, and international dispositive powers. The analysis finds that Kosovo independence might be legally justifiable under a collective recognition theory, possibly supported with remedial arguments. Having further enquired over the effectiveness and the legitimacy of its independent status (statehood criteria), this article contends that such turn of developments in Kosovo is better explained through more genuine political reasoning. The validity of independence as a solution is not debated in itself, but on the basis of the whole process the negative effects of reaching such outcome by the way of a one-sided decision are discussed."
"December 23, 2010","The study of state formation often focuses on building state capacity. The formation and subsequent bolstering of state capacity, however, are distinctly different activities. While the study of state capacity building has provided considerable insight into the role of formal institutions in maintaining stable governance, the implicit assumption in this work is the existence of a state upon which to build capacity. The collective decision to formalize institutions into a state - a necessary prior condition for building state capacity - is rarely addressed. In the following paper the role of informal institutions; specifically, social networks as informal institutions, in the process of state germination is explored. Using Afghanistan as a framework for the discussion, the research presented below attempts to illustrate the importance of the initial structural conditions of these networks, and the actors therein, in this process.  The paper begins with a brief description of the role of informal institution and social networks in Afghanistan. Next, a provision point public goods game is presented as a basic model of the collective action problem inherent in state formation.  Then, a network variant of this game is presented, which is implemented as a computational model. In the final sections the results of simulations from the computational model are presented, with a discussion and conclusions."
"December 22, 2010","The present article presents at first a German language summary about recent quantitative studies by the author and his associates about global development since the end of Communism in up to 175 nations of the world, using 26 predictor variables to evaluate the determinants of 30 processes of development on a global scale."
"December 22, 2010","This ethnographic essay investigates the relations between past and present forms of Islam in the north Caucasian Republic of Daghestan. Conversations culled from fieldwork in Daghestani urban and rural spaces are used to elucidate the cultural, religious, and linguistic diversity of life in this region. Ethnographies in a bookstore, a shrine to the Imam Shamil, and a scholarly archive in Makhachkala unfold against the historical background of Daghestan’s long-standing encounter with the Arabo-Islamic world. The essay explores how the post-Soviet turn to post-secular Islam represents an alternative to colonialism and a new way of making meaning in the present. It is intended as a contribution to Islamic studies, modernity theory, and post-Soviet Union area studies."
"December 22, 2010","The econometric study of civil war is increasing recognized to suffer from problems of 'over-aggregation'. As such, there is a high risk of estimation biases, ecological fallacies, and endogeneity problems. In this paper, I seek to contribute to the disaggregation of the study of civil war by focusing on the socio-economic dynamics of secessionist conflict as an identifiably distinct subset of ‘civil wars’, and by using a new subnational dataset compiled for this purpose. I test a series of hypotheses relating to the socio-economic conditions that encourage secessionism and political institutions that might mediate it. In contrast to the mainstream literature on civil war, I find  a very strong predictive role for a measure of ethnic diversity in accounting for the incidence of secession. I also find a relatively straightforward set of socio-economic relationships. The relationship between relative socio-economic performance and conflict incidence is non-linear: regions that suffer from high 'horizontal inequalities' - whether relatively poor or relatively rich - in relation to the rest of the country are more prone to secessionism. The presence of hydrocarbon deposits also dramatically increases the likelihood of secessionism. But the institutional story is more complex and contingent upon interaction effect with the degree of ethnic diversity and the level of horizontal inequality."
"December 21, 2010","""Diplomatic assurances"" are promises not to torture. The US and other traditionally rights-respecting governments have sought these assurances when sending detainees, usually terrorism suspects, to foreign authorities known for torture. This report, the culmination of several years of research by the Human Rights Institute, presents the evolving evidence and jurisprudence of assurances. Without taking a position on whether assurances can work, it describes elements that are necessary to make assurances plausible: judicial review, public scrutiny, and systematic monitoring."
"December 21, 2010","The US should ensure that detainees it apprehends and transfers to Afghan authorities are treated humanely. Just as long-term detention operations in Afghanistan are politically sensitive and pose a strategic liability to US interests, US detainee transfer practices may undercut the counterinsurgency strategy to ""win hearts and minds"" of the Afghan public insofar as they are associated with abuse or collusion with abusers."
"December 20, 2010","The article begins with a discussion of an empirical study that found a disjunction between the underlying assumptions and goals of media libel law, on the one hand, and the real interests of the parties and what the system actually accomplishes, on the other. The article then discusses several responses that have been proposed to address the problems of the libel litigation system. These include the media’s prevention of suits with better handling of complaints, expanded use of the special verdict, declaratory judgments, and nonlitigation alternatives. An experimental, voluntary, alternative program is described, along with a case that illustrates the potential benefits of such an alternative process."
"December 20, 2010","This chapter describes an experimental alternative program for resolving media libel disputes out of court and explains why the program was created. The chapter first discusses the findings of an empirical study of the libel litigation system. That study found that the primary objectives of plaintiffs who sue for libel are not met by the current system and that the media incur large financial and other costs in defending libel suits. The experimental, voluntary, alternative program that was created in response to these findings is described, along with the potential benefits that it could offer both parties relative to the current system and to other media libel litigation reform proposals."
"December 20, 2010","The recent holding in Holder v. Humanitarian Law Project (“HLP”) marks a significant shift in First Amendment doctrine, unprecedented since the early twentieth century ""Red Scare"" cases. The HLP decision suggests that free speech principles which have been developing for over half a century - culminating in the paramount protection of ""subversive advocacy"" - are less deserving of adherence in the face of terrorism than in times of ""peace."" Throughout the past several decades of free speech precedent, the Court has retreated from the notion that speech which is disturbing to public opinion (""pernicious in nature"") but benign in its capability to incite imminent lawless action should be afforded lower legal protection. The HLP decision seems to disregard the fact that ""freedom for the thought that we hate"" has been heralded as a cherished American value, critical and fundamental to the preservation of democracy, and setting the U.S. aside as unique from other nations."
"December 20, 2010","The present paper intends to examine the evolution of the European idea in inter-war Romania. On this occasion, I try to have a synthetic presentation of Romanian currents and intellectual evolutions, a history of that idea in inter-war political and intellectual environments. Romanian élites prove to be connected to the evolutions at the European level, offering solutions and professionally commenting the proposals presented."
"December 20, 2010","The development of nanotechnology for military application is an emerging area of research and development, the pace and extent of which has not been fully anticipated by international legal regulation. Nano-weapons are referred to here as objects and devices using nanotechnology or causing effects in nano-scale that are designed or used for harming humans. Such weapons, despite their controversial human and environmental toxicity, are not comprehensively covered by specific, targeted regulation under international law. This article critically examines current international humanitarian law and arms control law regimes to determine whether significant gaps exist in the regulation of nanotechnology focused on offensive military application. It presents and evaluates the reasons why more robust regulatory mechanisms under international law for nano-weapons should, or should not, be considered. Lastly, the strengths and weaknesses of different models of international regulation for nano-weapons will be examined."
"December 20, 2010","The chapter begins with a description of an experimental, voluntary program for resolving media libel disputes out of court and explains why the program was created. The chapter then focuses on the findings of an empirical study that examined parties’ reactions to the program and the factors that affected its use. Parties’ interest in using the ADR program was influenced by their lawyers’ recommendations regarding the program, which were affected by the lawyers’ familiarity with and attitudes toward ADR. Parties’ motives and objectives for the litigation also affected their willingness to use the program. The stage of litigation also played a role. Difficulties getting parties to the table are discussed, as are features that might broaden the appeal of an ADR program."
"December 20, 2010","The influence of the domestic in foreign policy decision-making has tended to be one of the prime concerns in international relations and several scholarly works have investigated the role and impact of political parties, coalition politics, bureaucracy, lobbies and diaspora on foreign policy choices of countries. Equally intriguing has been the literature on the influence of strategic culture on external policies of states. This approach, which could be traced to the writings of Sun Tzu, Thucydides and Clausewitz on national character and to Jack Snyder's 1977 account of the nature of the Soviet state, considers strategic culture of countries to change rather slowly if at all. The case of the Indian strategic culture manifests a similar - semipermanence. Rooted in the politico-strategic thought of Nehru, the country's first prime minister, Indian strategic culture has been characterized by a conspicuous restraint in undertaking conventional realist actions in international politics - a trend more or less unchanged over time. Such a restraint can be identified in the country's policy of nuclear minimalism, its military modernization and in its bilateral strategic relationship with the state of Israel. It is the third phenomenon, that this paper seeks to elaborate. Despite its strong ties with Israel, there is an astonishing lack of publicization of the the relationship, an incessant inclination of the Indian political establishment to pay lip service to the Palestinian cause and an identifiable unwillingness to use the relationship to advance direct military strategic interests- demonstrated for example, in India's refusal to accept Israel's offer of help during the 26/11 terrorist sabotage in Mumbai. The paper therefore, seeks to demonstrate the influence of the prevailing strategic culture of a country on its foreign policy behaviour, using the Indian example as a case in point."
"December 19, 2010","Indonesian Islam’s famous diversity has challenged analysts for over a century. They have dreamed up one dichotomy after another - priests vs. aristocrats, modernists vs. traditionalists, orthodox vs. syncretists (santri vs. abangan), regimists vs. pluralists, radicals vs. moderates. Their motivation was not merely academic - most wanted to contribute to agendas beyond the purely religious. Imperial control, modernisation, democracy, and counter-terrorism have all been projects with a major interest in religion. One important question (too rarely asked) is whether these religious differences can be linked with any other social contrasts, and in particular with socio-economic class. If they can, our insight should expand enormously. Instead of dealing merely with an array of free-floating convictions, we can work with a multi-dimensional analytical field that is broad enough to give rise to comprehensible social forces."
"December 19, 2010","This article assesses whether the Southern Africa Development Community Tribunal (SADC Tribunal) was enabled to, and consequently whether it should, operate as a court. It argues that: (i) the 14 August 2001 amendments to the SADC Treaty did not bring the Protocol on the Tribunal into force, despite vociferous arguments to the contrary, (ii) since the Protocol on the Tribunal was not brought into force in accordance with the peremptory provisions of the SADC Treaty, the Tribunal cannot lawfully operate as a court of law; (iii) the SADC Treaty should be amended to resolve the disputes that have arisen over the legal competency of the Tribunal to act as the regional bloc’s dispute resolution mechanism; (iv) the Tribunal should be split into two, with one Court having human rights jurisdiction and the other jurisdiction over all other specified disputes; and (v) legal instruments providing for both Courts should clearly prescribe the normative legal framework underpinning each of them."
"December 19, 2010","The events of 11 September 2001 led the Australian Government to conduct a review of Australia’s ability to counter terrorism. This article discusses the implications for liberalism of the package of six counter-terrorism Bills introduced into the Commonwealth Parliament as a result of that review."
"December 18, 2010","Over the last decade a growing number of cases brought before U.S. courts have alleged that major multinational corporations were complicit in and benefited from human rights violations committed by agents of foreign governments. These cases concern one of the most disputed questions in international human rights litigation, namely, the availability of secondary or indirect liability and aiding and abetting liability in particular. While the U.S. Supreme Court has yet to address the issue, many District and Circuit Courts have held that aiding and abetting liability is available under the Alien Tort Claims Act (‘ATCA’)."
