"Author","Article","weight"
"100009","1154168",1
"1000663","1553101",1
"1000667","1330243",1
"1001381","1296023",1
"1001381","1692537",1
"1001531","1122876",1
"100258","1550952",2
"1003154","1336045",1
"1003168","1450445",1
"1003168","1594386",1
"1005321","1576189",1
"1005321","1576190",1
"1005401","1121003",1
"100574","1485175",1
"100574","1580219",2
"1006154","1125065",1
"1007261","1592837",1
"1007261","1592863",1
"1007261","1592902",1
"1007261","1592903",1
"1007978","1526088",1
"1008","1148682",1
"100809","1594870",2
"1010074","1599077",1
"1010966","1120845",1
"1012481","1634299",1
"1015136","1330243",2
"1015505","1117204",1
"101581","1263682",2
"1019085","1326021",1
"1019085","1339002",1
"1019085","1472068",1
"1019085","1595157",1
"1021034","1706942",1
"1021034","1719768",1
"1022489","1580060",1
"102259","1622823",2
"1023117","1133933",1
"102402","1148682",1
"102412","1615224",2
"1025352","1146649",1
"1025352","1148403",1
"1025905","1708022",1
"1026062","1135307",1
"1026637","1705344",1
"102770","1475042",2
"1028368","1574846",1
"1028368","1628331",1
"1029949","1328334",1
"1029949","1403091",1
"1030386","1137830",1
"1030827","1138630",1
"1031557","1138244",1
"1031711","1130262",1
"1032728","1508840",1
"103308","1578739",1
"1033319","1135984",2
"1033319","1136002",1
"1035150","1140036",1
"1037441","1141435",1
"1037480","1141501",1
"1037491","1141525",1
"1037506","1615955",3
"1037673","1554204",1
"1038417","1127052",1
"1039977","1678713",1
"104019","1548437",2
"1040689","1143211",1
"1040689","1536165",1
"1040705","1143211",1
"1041106","1351888",1
"1041106","1562572",1
"1042066","1331317",1
"1042066","1372214",2
"1042069","1605149",1
"1042184","1159677",1
"1042453","1144346",1
"1043065","1144788",1
"1043065","1450539",1
"1043672","1162275",1
"104408","1449856",1
"104408","1664990",1
"104475","1112064",2
"1045203","1239626",1
"1045203","1503908",1
"1045203","1681169",1
"104799","1115507",1
"104799","1147303",1
"1050015","1542688",1
"1050030","1536165",1
"105013","1069906",1
"105013","1302488",3
"105013","1507930",5
"1051445","1298646",1
"1051644","1726041",1
"1051869","1148013",1
"1051873","1493050",1
"105212","1536426",1
"1052260","1148331",1
"1052657","1148682",1
"1052657","1349218",1
"1052657","1351765",1
"1052657","1590147",1
"1052657","1590148",1
"1052657","1647178",1
"1052657","1647664",1
"1052657","1679750",1
"105331","1450574",1
"1053678","1449156",1
"105373","1332403",4
"1055174","1394144",1
"1055174","1394146",1
"105603","1264883",1
"105603","1296733",1
"105603","1349357",1
"105603","1354677",1
"105603","1392211",1
"105603","1501144",2
